# benchmark_hycal_timing
# evio_path=/mnt/hgfs/Data/PRad2/prad_024386 max_events=100000
# pre_window=[130.0,200.0] ns  seed_time_window=16.0 ns
# selection: single cluster E > 3000.0 MeV
# n_phys=100000 n_kept=98001 elapsed_s=132.1

path	n_events	gauss_mu_MeV	gauss_sigma_MeV	n_in_fit
legacy	59890	3491.72	80.32	51207
new	59886	3491.61	80.29	51223

# energy histogram bin centres (MeV) and counts
e_centre	count_legacy	count_new
2510.0	0	0
2530.0	0	0
2550.0	0	0
2570.0	0	0
2590.0	0	0
2610.0	0	0
2630.0	0	0
2650.0	0	0
2670.0	0	0
2690.0	0	0
2710.0	0	0
2730.0	0	0
2750.0	0	0
2770.0	0	0
2790.0	0	0
2810.0	0	0
2830.0	0	0
2850.0	0	0
2870.0	0	0
2890.0	0	0
2910.0	0	0
2930.0	0	0
2950.0	0	0
2970.0	0	0
2990.0	0	0
3010.0	288	288
3030.0	301	301
3050.0	262	262
3070.0	265	264
3090.0	191	193
3110.0	227	228
3130.0	226	228
3150.0	256	253
3170.0	240	241
3190.0	275	276
3210.0	280	280
3230.0	308	306
3250.0	373	372
3270.0	396	398
3290.0	497	494
3310.0	629	634
3330.0	880	878
3350.0	1188	1195
3370.0	1702	1702
3390.0	2432	2435
3410.0	3125	3131
3430.0	4051	4066
3450.0	4781	4786
3470.0	5217	5209
3490.0	5507	5507
3510.0	5222	5226
3530.0	4757	4763
3550.0	4197	4202
3570.0	3366	3358
3590.0	2522	2522
3610.0	1851	1849
3630.0	1289	1272
3650.0	967	965
3670.0	624	615
3690.0	409	410
3710.0	286	282
3730.0	194	193
3750.0	133	131
3770.0	69	69
3790.0	36	38
3810.0	24	21
3830.0	12	12
3850.0	8	8
3870.0	5	5
3890.0	3	3
3910.0	3	2
3930.0	0	0
3950.0	1	1
3970.0	2	2
3990.0	1	1
